pipeline,readout,contrast,bird_id,panel_count,mean_contribution,sign
birdnet,centroid,B_minus_A,vz31866,12,0.1433225897049607,positive
birdnet,centroid,B_minus_A,vz31906,12,0.66977853805657028,positive
birdnet,centroid,B_minus_A,vz32978,12,0.95530703864037181,positive
birdnet,centroid,B_minus_A,vz33158,12,0.26120285394405762,positive
birdnet,centroid,B_minus_A,vz33280,12,0.65649470899470896,positive
birdnet,centroid,B_minus_A,vz33342,12,0.38647040595570009,positive
birdnet,centroid,B_minus_A,vz33544,12,0.91386566907464728,positive
birdnet,centroid,B_minus_A,vz33661,12,0.58932274621929792,positive
birdnet,centroid,B_minus_A,vz33688,12,0.045225488878739617,positive
birdnet,centroid,B_minus_A,vz33691,12,0.22702077507064722,positive
birdnet,centroid,B_minus_A,vz33700,12,0.8392172514913776,positive
birdnet,centroid,B_minus_A,vz33851,12,0.72450056641398464,positive
birdnet,centroid,B_minus_A,vz33887,12,0.91111299300954485,positive
birdnet,centroid,B_minus_A,vz33890,12,0.87034656433207147,positive
birdnet,centroid,B_minus_A,vz33899,12,0.66871544051642084,positive
birdnet,centroid,B_minus_C,pf71373,12,0.41940027274630509,positive
birdnet,centroid,B_minus_C,pf71395,12,0.93080847028215452,positive
birdnet,centroid,B_minus_C,pf71411,12,0.49194847020933974,positive
birdnet,centroid,B_minus_C,pf71904,12,0.6256050942877035,positive
birdnet,centroid,B_minus_C,pf71915,12,0.62536075036075034,positive
birdnet,centroid,B_minus_C,pf71937,12,0.58942667669447857,positive
birdnet,centroid,B_minus_C,pf72101,12,0.44827396010260451,positive
birdnet,centroid,B_minus_C,pf72506,12,0.56510271024962988,positive
birdnet,centroid,B_minus_C,pf72509,12,0.79872209323010246,positive
birdnet,centroid,B_minus_C,pf72510,12,0.51966164644950252,positive
birdnet,centroid,B_minus_C,pf72514,12,0.95576102641320038,positive
birdnet,centroid,B_minus_C,pf72561,12,1,positive
birdnet,centroid,B_minus_C,pf72730,12,0.5,positive
birdnet,centroid,B_minus_C,pf72757,12,0.59720563523275061,positive
birdnet,centroid,B_minus_C,te80906,12,0.7553428053428054,positive
birdnet,centroid,B_minus_C,te80930,12,0.37642471468272382,positive
birdnet,centroid,B_minus_C,tj26850,12,0.51842214158390632,positive
birdnet,centroid,B_minus_C,tl38410,12,0.47149778516057578,positive
birdnet,centroid,B_minus_C,tl38650,12,0.62381515781928576,positive
birdnet,centroid,B_minus_C,tl38664,12,0.51980703120409,positive
birdnet,centroid,B_minus_C,tr43216,12,0.5420810215340448,positive
birdnet,centroid,B_minus_C,tr43324,12,0.9739789196310934,positive
birdnet,centroid,B_minus_C,tr43332,12,0.487313247710845,positive
birdnet,centroid,B_minus_C,tr43333,12,0.48029156212563806,positive
birdnet,centroid,B_minus_C,tr43342,12,0.35597584678607247,positive
birdnet,centroid,B_minus_C,ts47913,12,0.46227260320257363,positive
birdnet,centroid,B_minus_C,ts47968,12,0.6253436200881306,positive
birdnet,centroid,B_minus_C,tv26548,12,0.44799589971747494,positive
birdnet,centroid,B_minus_C,tv44361,12,0.23113555837637678,positive
birdnet,centroid,B_minus_C,tw41613,12,0.48409015605324618,positive
birdnet,centroid,B_minus_C,tw41667,12,0.63841406693907499,positive
birdnet,centroid,B_minus_C,tw41728,12,0.75789520745661099,positive
birdnet,centroid,B_minus_C,tw41833,12,0.91888616525640121,positive
birdnet,centroid,B_minus_C,tw41850,12,0.62819602060220237,positive
birdnet,centroid,B_minus_C,tw41881,12,0.41480845441707115,positive
birdnet,centroid,B_minus_C,tw41893,12,0.59967167343409555,positive
birdnet,centroid,B_minus_C,ty68001,12,0.25599262929630001,positive
birdnet,centroid,B_minus_C,ty68090,12,0.78361054150527831,positive
birdnet,centroid,B_minus_C,ty68169,12,0.50207724119212649,positive
birdnet,centroid,B_minus_C,ty68197,12,0.075396825396825393,positive
birdnet,centroid,B_minus_C,ty68250,12,0.50994689542483662,positive
birdnet,centroid,B_minus_C,ty68256,12,0.54174669686781274,positive
birdnet,centroid,B_minus_C,ty68266,12,0.81323392138609518,positive
birdnet,centroid,B_minus_C,ty68269,12,0.97330447330447323,positive
birdnet,centroid,B_minus_C,ty68288,12,0.68545886014993551,positive
birdnet,centroid,B_minus_C,ty68290,12,0.49711327320022969,positive
birdnet,centroid,B_minus_C,ty68302,12,0.27385060387797416,positive
birdnet,centroid,B_minus_C,ty68314,12,0.32629881892559104,positive
birdnet,centroid,B_minus_C,ty68356,12,0.7206147653516074,positive
birdnet,centroid,B_minus_C,ty68365,12,0.77586368807406825,positive
birdnet,centroid,B_minus_C,ty68368,12,0.34842634280856344,positive
birdnet,centroid,B_minus_C,ty68410,12,0.83113110373172272,positive
birdnet,centroid,B_minus_C,ty68701,12,0.64900978631722694,positive
birdnet,centroid,B_minus_C,ty68797,12,0.74987102005122608,positive
birdnet,centroid,B_minus_C,ty68817,12,0.29019085158857766,positive
birdnet,centroid,B_minus_C,ty69095,12,0.41459739091318032,positive
birdnet,centroid,B_minus_C,ty69215,12,0.39585256355969106,positive
birdnet,centroid,B_minus_C,ty69216,12,0.50246016338972577,positive
birdnet,centroid,B_minus_C,ty69429,12,0.14135369135369136,positive
birdnet,centroid,B_minus_C,ty69450,12,0.65185908077952759,positive
birdnet,centroid,B_minus_C,ty69456,12,0.62188065473417697,positive
birdnet,centroid,B_minus_C,ty69457,12,0.65522966057190035,positive
birdnet,centroid,B_minus_C,ty69479,12,-0.0050528129836502206,negative
birdnet,centroid,B_minus_C,ty69494,12,0.36395202635012008,positive
birdnet,centroid,B_minus_C,ty69500,12,0.94996392496392501,positive
birdnet,centroid,B_minus_C,ty70009,12,0.10708898944193061,positive
birdnet,centroid,B_minus_C,ty70013,12,0.65969532416900833,positive
