panel,pipeline,m_exposed,added_clips,selected_c,val_macro_f1,macro_f1_D,macro_f1_A,macro_f1_B,macro_f1_C,B_minus_C,B_minus_A
panel004,perch,20,1991,10.0,0.9868456269428348,0.9894268489244857,0.978927334620891,0.9271301111986077,0.8778345261199332,0.049295585078674486,-0.05179722342228332
panel004,perch,0,0,1.0,,0.9904424675018069,0.2233778713643032,0.9382709624771864,0.15873017149274715,0.7795407909844393,0.7148930911128832
panel005,perch,1,107,10.0,0.9853084263301554,0.9934678099951095,0.5289487465171905,0.938214357423871,0.346310182172304,0.591904175251567,0.40926561090668057
panel005,perch,2,213,10.0,0.9849195734606605,0.9953153912819432,0.7127962015595254,0.9358996930913253,0.4746089120132582,0.46129078107806704,0.22310349153179987
panel005,perch,5,530,10.0,0.9843557803630864,0.9953011954979492,0.9184515645185061,0.9377877163877469,0.6974763869912146,0.24031132939653232,0.01933615186924087
panel005,perch,10,1029,10.0,0.9867102699770103,0.9934273520107263,0.9339485371351209,0.9298277180896994,0.7781796137376488,0.15164810435205067,-0.004120819045421498
panel005,perch,20,1979,10.0,0.9879069581726387,0.9953153912819432,0.9778663323309023,0.9334800958652548,0.8223127724403069,0.11116732342494795,-0.04438623646564743
panel005,perch,0,0,10.0,,0.995301195497949,0.2166212841500172,0.944063235656298,0.14659263007665238,0.7974706055796457,0.7274419515062809
panel006,perch,1,107,10.0,0.9828414580938023,0.9894780932540256,0.4817827827301069,0.9330334304232378,0.41712909253730757,0.5159043378859303,0.45125064769313095
panel006,perch,2,214,10.0,0.9809003641727305,0.9894734086453076,0.6632511738906924,0.9381348021473924,0.5617619233471787,0.37637287880021375,0.2748836282567
panel006,perch,5,535,10.0,0.9836541999057651,0.9915558508278626,0.8776302999712192,0.926276671940797,0.7684287547276175,0.15784791721317948,0.04864637196957777
panel006,perch,10,1051,10.0,0.9841260338535758,0.9894132895000927,0.9330110759747584,0.9249093707622296,0.867974542449804,0.05693482831242558,-0.008101705212528842
panel006,perch,20,2006,10.0,0.9846525360447552,0.9915011970594853,0.9830648555685447,0.9312475180997503,0.905604792681392,0.025642725418358214,-0.05181733746879447
panel006,perch,0,0,10.0,,0.9904072073164403,0.1827167602037103,0.9438391222544447,0.15940781125923,0.7844313109952147,0.7611223620507344
panel007,perch,1,107,10.0,0.9847074996482359,0.9952607375135657,0.5175611923892846,0.959166375748399,0.4191344657497292,0.5400319099986699,0.4416051833591145
panel007,perch,2,212,1.0,0.9832961083390315,0.9952607375135659,0.6726519587030146,0.9525634178611964,0.5511897395160954,0.40137367834510096,0.2799114591581817
panel007,perch,5,517,10.0,0.9849231878890224,0.9952607375135657,0.8838674429265985,0.9422684791122199,0.7651088662387983,0.17715961287342163,0.058401036185621424
panel007,perch,10,1001,10.0,0.9868929281473342,0.9952607375135659,0.9531955256181357,0.9431908282142211,0.8505044086936784,0.09268641952054268,-0.01000469740391463
panel007,perch,20,1893,1.0,0.9882149556759892,0.9952607375135657,0.9617828500729936,0.947285509959006,0.8910526067389132,0.05623290322009278,-0.014497340113987622
panel007,perch,0,0,10.0,,0.9952607375135657,0.22203903357139965,0.9614213134074048,0.1753220679602048,0.7860992454472,0.7393822798360051
panel008,perch,1,107,10.0,0.9857961731838856,0.9990630782563886,0.520557364230644,0.9335579053578152,0.4257144345344557,0.5078434708233596,0.4130005411271712
panel008,perch,2,213,10.0,0.9847839813434753,0.9981261565127771,0.7241005754302281,0.9331151344097578,0.5919993340896149,0.3411158003201429,0.2090145589795297
panel008,perch,5,523,10.0,0.9856347434996735,0.9990630782563886,0.9065114452716463,0.9305338742313615,0.7709967832175196,0.15953709101384184,0.02402242895971518
panel008,perch,10,1017,10.0,0.9865648000147361,0.9990630782563886,0.9402066919862174,0.9262595689116283,0.8550759172405887,0.07118365167103957,-0.013947123074589118
panel008,perch,20,1925,10.0,0.9872340969678322,0.9981261565127774,0.9691351409270451,0.9253634683974612,0.9050350671563574,0.0203284012411038,-0.043771672529583916
panel008,perch,0,0,10.0,,1.0,0.19376056490404261,0.9356843780744559,0.16114362169541724,0.7745407563790387,0.7419238131704133
panel009,perch,1,107,10.0,0.9847632305675283,0.9943261580743135,0.5536379046200293,0.940360330962329,0.4003255751998552,0.5400347557624738,0.3867224263422997
panel009,perch,2,213,10.0,0.9817061145970257,0.9952607375135657,0.7413042021668085,0.9430666331282821,0.572309413417264,0.37075721971101805,0.20176243096147362
panel009,perch,5,526,1.0,0.9830424934012021,0.9943238157699544,0.8915306662151561,0.9362897731657506,0.7135169319707733,0.2227728411949773,0.044759106950594485
panel009,perch,10,1024,1.0,0.9844644077389233,0.9933868940263432,0.9350735524231851,0.9301513699952252,0.8027056473681179,0.1274457226271073,-0.004922182427959942
panel009,perch,20,1974,1.0,0.9860284709440255,0.9924904302671149,0.9743595586119769,0.9359557149184562,0.8806805027832907,0.05527521213516551,-0.03840384369352068
panel009,perch,0,0,10.0,,0.9952607375135659,0.21685322770332574,0.9430199274377683,0.16317500679365626,0.779844920644112,0.7261666997344426
panel010,perch,1,107,10.0,0.9844834364608325,0.9981261565127771,0.5488441744556664,0.9569690596786985,0.40505519766820625,0.5519138620104922,0.40812488522303214
panel010,perch,2,213,10.0,0.9836391904517537,0.9962927710099378,0.7340996397631762,0.9521634566323038,0.5516982611359807,0.4004651954963231,0.21806381686912768
panel010,perch,5,526,1.0,0.9851813601458479,0.9971892347691659,0.9031355743227758,0.9548827199903778,0.7546387102380915,0.2002440097522863,0.05174714566760197
