panel,pipeline,readout,contrast,endpoint_role,estimate,panel_ci_low_not_plotted,panel_ci_high_not_plotted,positive,config_mean,conditional_ci_low,conditional_ci_high,n_panels,n_birds,bootstrap_draws,conditioning,source_panel_csv_sha256,source_conditional_csv_sha256
panel008,birdnet,centroid,B_minus_A,secondary_readout_robustness,0.52159253683354623,0.44055186894004911,0.60120708653403399,true,0.5254415042392887,0.47484910709199407,0.57531505823129903,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
panel009,birdnet,centroid,B_minus_A,secondary_readout_robustness,0.52947819701371102,0.449445929328807,0.60720753357305457,true,0.5254415042392887,0.47484910709199407,0.57531505823129903,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
panel010,birdnet,centroid,B_minus_A,secondary_readout_robustness,0.49831237919751498,0.42114265012834962,0.57401866179572891,true,0.5254415042392887,0.47484910709199407,0.57531505823129903,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
panel011,birdnet,centroid,B_minus_A,secondary_readout_robustness,0.49955654691600582,0.41795791479256306,0.57910027074564407,true,0.5254415042392887,0.47484910709199407,0.57531505823129903,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
panel012,birdnet,centroid,B_minus_A,secondary_readout_robustness,0.5272934270815306,0.45898521405257214,0.5962045703430191,true,0.5254415042392887,0.47484910709199407,0.57531505823129903,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
panel001,birdnet,centroid,B_minus_C,secondary_readout_robustness,0.4963473747870244,0.41893946991904762,0.5709316401922252,true,0.55928532829978228,0.51330579287509903,0.60512882150628644,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
panel002,birdnet,centroid,B_minus_C,secondary_readout_robustness,0.5687932448296471,0.49268987109770923,0.64269419266176742,true,0.55928532829978228,0.51330579287509903,0.60512882150628644,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
panel003,birdnet,centroid,B_minus_C,secondary_readout_robustness,0.61895062538154322,0.54642962226067038,0.68818586404509918,true,0.55928532829978228,0.51330579287509903,0.60512882150628644,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
panel004,birdnet,centroid,B_minus_C,secondary_readout_robustness,0.55598122197360711,0.48577450924356419,0.62330097989683042,true,0.55928532829978228,0.51330579287509903,0.60512882150628644,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
panel005,birdnet,centroid,B_minus_C,secondary_readout_robustness,0.57881291132519941,0.50615838884609798,0.64765880862298186,true,0.55928532829978228,0.51330579287509903,0.60512882150628644,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
panel006,birdnet,centroid,B_minus_C,secondary_readout_robustness,0.56489404366048601,0.49287459784989018,0.63629151954905039,true,0.55928532829978228,0.51330579287509903,0.60512882150628644,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
panel007,birdnet,centroid,B_minus_C,secondary_readout_robustness,0.59280618675559282,0.51703354264733237,0.66473161089150401,true,0.55928532829978228,0.51330579287509903,0.60512882150628644,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
panel008,birdnet,centroid,B_minus_C,secondary_readout_robustness,0.56717031252267347,0.49132448473913615,0.64066915944470038,true,0.55928532829978228,0.51330579287509903,0.60512882150628644,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
panel009,birdnet,centroid,B_minus_C,secondary_readout_robustness,0.52611522279262624,0.44749499482891802,0.59883839187736443,true,0.55928532829978228,0.51330579287509903,0.60512882150628644,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
panel010,birdnet,centroid,B_minus_C,secondary_readout_robustness,0.5435916535513472,0.46708399944299256,0.61544329857831825,true,0.55928532829978228,0.51330579287509903,0.60512882150628644,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
panel011,birdnet,centroid,B_minus_C,secondary_readout_robustness,0.55934049464776847,0.48717033495588424,0.630306039115758,true,0.55928532829978228,0.51330579287509903,0.60512882150628644,12,107,10000,fixed_12_generated_configurations,d7504c6804915d47532d497fbda20929778aebf0c59b8bb5033cd129a8eebc85,1dbdd0210e96f314773627ae78abaad6efba3005b9b44c65a779b1d2cf81e034
